gisjoin_1870,cnty_area_1870,gisjoin_1990,cnty_area_1990,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_part_pop_m5,cnty_part_pop_m6,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,cnty_pop_m5,cnty_pop_m6,m1_weight,m2_weight,m3_weight,m4_weight,m5_weight,m6_weight
G0100010,1565529772.77,G0100010,1565529772.77,1565529771.48,11623,11623.001,11623,25,28,11623,11623.001,11623,25,28,1,1,1,1,1,1
G0100015,1748162057.93,G0100210,1814971185.03,1708670711.21,6052.6655,6071.915,6068.021,3,3,6194.0005,6193.9995,6194,3,3,.97740978,.97718197,.98028988,.97966111,1,1
G0100015,1748162057.93,G0101170,2096689743.97,39491348.6402,141.33485,122.08463,125.97916,0,0,6194.0005,6193.9995,6194,3,3,.022590211,.022818025,.019710146,.020338902,0,0
G0100030,4232265763.35,G0100030,4232265763.35,4232265761.61,6004,6004,6004,25,29,6004,6004,6004,25,29,1,1,1,1,1,1
G0100050,2343807011.36,G0100050,2342716427.73,.361295548844,0,0,0,0,0,29309,29309,29309,59,104,1.5414901e-10,0,0,0,0,0
G0100050,2343807011.36,G0100050,2342716427.73,.836149027108,0,0,0,0,0,29309,29309,29309,59,104,3.5674824e-10,0,0,0,0,0
G0100050,2343807011.36,G0100050,2342716427.73,.707204585935,0,0,0,0,0,29309,29309,29309,59,104,3.0173328e-10,0,0,0,0,0
G0100050,2343807011.36,G0100050,2342716427.73,.5085451300529999,0,0,0,0,0,29309,29309,29309,59,104,2.1697398e-10,0,0,0,0,0
G0100050,2343807011.36,G0100050,2342716427.73,2342032611.51,29286.643,29285.229,29284.541,59,104,29309,29309,29309,59,104,.99924296,.99923718,.99918896,.99916548,1,1
G0100050,2343807011.36,G0100110,1621500979.98,.836149027108,0,0,0,0,0,29309,29309,29309,59,104,3.5674824e-10,0,0,0,0,0
G0100050,2343807011.36,G0100110,1621500979.98,1303303.05867,22.356867,23.7707,24.459816,0,0,29309,29309,29309,59,104,.00055606244,.00076279871,.00081103761,.00083454966,0,0
G0100050,2343807011.36,G0100450,1457342935.36,.361295548844,0,0,0,0,0,29309,29309,29309,59,104,1.5414901e-10,0,0,0,0,0
G0100050,2343807011.36,G0100670,1471981060.2,.707204585935,0,0,0,0,0,29309,29309,29309,59,104,3.0173328e-10,0,0,0,0,0
G0100050,2343807011.36,G0101130,1676717238.03,471093.66454,0,0,0,0,0,29309,29309,29309,59,104,.00020099507,0,0,0,0,0
G0100050,2343807011.36,G0101130,1676717238.03,.5085451300529999,0,0,0,0,0,29309,29309,29309,59,104,2.1697398e-10,0,0,0,0,0
G0100070,1600251808.56,G0100070,1621774444.63,.212694208394,0,0,0,0,0,7469,7468.9995,7469,9,11,1.3291296e-10,0,0,0,0,0
G0100070,1600251808.56,G0100070,1621774444.63,1598750278.85,7464.3521,7464.2959,7464.062,9,11,7469,7468.9995,7469,9,11,.9990617,.99937773,.99937028,.99933887,1,1
G0100070,1600251808.56,G0100070,1621774444.63,.0333161843046,0,0,0,0,0,7469,7468.9995,7469,9,11,2.0819339e-11,0,0,0,0,0
G0100070,1600251808.56,G0101170,2096689743.97,.212694208394,0,0,0,0,0,7469,7468.9995,7469,9,11,1.3291296e-10,0,0,0,0,0
G0100070,1600251808.56,G0101170,2096689743.97,1501530.11882,4.6477909,4.7034001,4.9379587,0,0,7469,7468.9995,7469,9,11,.00093830866,.00062227756,.0006297229,.00066112715,0,0
G0100090,2506007985.34,G0100090,1685071135.65,.609745742593,0,0,0,0,0,9945,9945,9945,0,0,2.4331356e-10,0,0,0,,
G0100090,2506007985.34,G0100090,1685071135.65,1582409370.05,6260.3418,6258.8687,6236.2827,0,0,9945,9945,9945,0,0,.63144624,.6294964,.62934828,.62707722,,
G0100090,2506007985.34,G0100430,1954996982.88,913978613.326,3640.9353,3642.3911,3672.6335,0,0,9945,9945,9945,0,0,.36471495,.36610711,.3662535,.36929446,,
G0100090,2506007985.34,G0100730,2910681662.58,.609745742593,0,0,0,0,0,9945,9945,9945,0,0,2.4331356e-10,0,0,0,,
G0100090,2506007985.34,G0101150,1692864873.74,.0142770357663,0,0,0,0,0,9945,9945,9945,0,0,5.6971229e-12,0,0,0,,
G0100090,2506007985.34,G0101150,1692864873.74,9620000.38497,43.723022,43.740505,36.08358,0,0,9945,9945,9945,0,0,.0038387747,.0043964828,.0043982407,.0036283138,,
G0100110,1620952829.42,G0100050,2342716427.73,.836149027108,0,0,0,0,0,24474,24474,24474,21,29,5.1583798e-10,0,0,0,0,0
G0100110,1620952829.42,G0100050,2342716427.73,683813.224256,15.098088,0,0,0,0,24474,24474,24474,21,29,.0004218588,.00061690318,0,0,0,0
G0100110,1620952829.42,G0100110,1621500979.98,.391034039729,0,0,0,0,0,24474,24474,24474,21,29,2.4123714e-10,0,0,0,0,0
G0100110,1620952829.42,G0100110,1621500979.98,1.39924274657,0,0,0,0,0,24474,24474,24474,21,29,8.6322238e-10,0,0,0,0,0
G0100110,1620952829.42,G0100110,1621500979.98,1615393877.56,24383.412,24396.354,24395.137,21,29,24474,24474,24474,21,29,.99657059,.99629861,.99682736,.99677765,1,1
G0100110,1620952829.42,G0100110,1621500979.98,.836149027108,0,0,0,0,0,24474,24474,24474,21,29,5.1583798e-10,0,0,0,0,0
